id;region
13.06.04;MATUR
13.06.05;IV KOTO
13.06.06;BANUHAMPU
13.06.07;AMPEK ANGKEK
13.06.08;BASO
13.06.09;TILATANG KAMANG
13.06.10;PALUPUH
13.06.11;PELEMBAYAN
13.06.12;SUNGAI PUA
13.06.13;AMPEK NAGARI
13.06.14;CANDUNG
13.06.15;KAMANG MAGEK
13.06.16;MALALAK
13.07;KAB. LIMA PULUH KOTA
13.07.01;SULIKI
13.07.02;GUGUAK
13.07.03;PAYAKUMBUH
13.07.04;LUAK
13.07.05;HARAU
13.07.06;PANGKALAN KOTO BARU
13.07.07;KAPUR IX
13.07.08;GUNUANG OMEH
13.07.09;LAREH SAGO HALABAN
13.07.10;SITUJUAH LIMO NAGARI
13.07.11;MUNGKA
13.07.12;BUKIK BARISAN
13.07.13;AKABILURU
13.08;KAB. PASAMAN
13.08.04;BONJOL
13.08.05;LUBUK SIKAPING
13.08.07;PANTI
13.08.08;MAPAT TUNGGUL
13.08.12;DUO KOTO
13.08.13;TIGO NAGARI
13.08.14;RAO
13.08.15;MAPAT TUNGGUL SELATAN
13.08.16;SIMPANG ALAHAN MATI
13.08.17;PADANG GELUGUR
13.08.18;RAO UTARA
13.08.19;RAO SELATAN
13.09;KAB. KEPULAUAN MENTAWAI
13.09.01;PAGAI UTARA
13.09.02;SIPORA SELATAN
13.09.03;SIBERUT SELATAN
13.09.04;SIBERUT UTARA
13.09.05;SIBERUT BARAT
13.09.06;SIBERUT BARAT DAYA
13.09.07;SIBERUT TENGAH
13.09.08;SIPORA UTARA
13.09.09;SIKAKAP
13.09.10;PAGAI SELATAN
13.10;KAB. DHARMASRAYA
13.10.01;KOTO BARU
13.10.02;PULAU PUNJUNG
13.10.03;SUNGAI RUMBAI
13.10.04;SITIUNG
13.10.05;SEMBILAN KOTO
13.10.06;TIMPEH
13.10.07;KOTO SALAK
13.10.08;TIUMANG
13.10.09;PADANG LAWEH
13.10.10;ASAM JUJUHAN
13.10.11;KOTO BESAR
13.11;KAB. SOLOK SELATAN
13.11.01;SANGIR
13.11.02;SUNGAI PAGU
13.11.03;KOTO PARIK GADANG DIATEH
13.11.04;SANGIR JUJUAN
13.11.05;SANGIR BATANG HARI
13.11.06;PAUH DUO
13.11.07;SANGIR BALAI JANGGO
13.12;KAB. PASAMAN BARAT
13.12.01;SUNGAIBEREMAS
13.12.02;LEMBAH MELINTANG
13.12.03;PASAMAN
13.12.04;TALAMAU
13.12.05;KINALI
13.12.06;GUNUNGTULEH
13.12.07;RANAH BATAHAN
13.12.08;KOTO BALINGKA
13.12.09;SUNGAIAUR
13.12.10;LUHAK NAN DUO
13.12.11;SASAK RANAH PESISIR
13.71;KOTA PADANG
13.71.01;PADANG SELATAN
13.71.02;PADANG TIMUR
13.71.03;PADANG BARAT
13.71.04;PADANG UTARA
13.71.05;BUNGUS TELUK KABUNG
13.71.06;LUBUK BEGALUNG
13.71.07;LUBUK KILANGAN
13.71.08;PAUH
13.71.09;KURANJI
13.71.10;NANGGALO
13.71.11;KOTO TANGAH
13.72;KOTA SOLOK
13.72.01;LUBUK SIKARAH
13.72.02;TANJUNG HARAPAN
13.73;KOTA SAWAHLUNTO
13.73.01;LEMBAH SEGAR
13.73.02;BARANGIN
13.73.03;SILUNGKANG
13.73.04;TALAWI
13.74;KOTA PADANG PANJANG
13.74.01;PADANG PANJANG TIMUR
13.74.02;PADANG PANJANG BARAT
13.75;KOTA BUKITTINGGI
13.75.01;GUGUAK PANJANG
13.75.02;MANDIANGIN K. SELAYAN
13.75.03;AUR BIRUGO TIGO BALEH
13.76;KOTA PAYAKUMBUH
13.76.01;PAYAKUMBUH BARAT
13.76.02;PAYAKUMBUH UTARA
13.76.03;PAYAKUMBUH TIMUR
13.76.04;LAMPOSI TIGO NAGORI
13.76.05;PAYAKUMBUH SELATAN
13.77;KOTA PARIAMAN
13.77.01;PARIAMAN TENGAH
13.77.02;PARIAMAN UTARA
13.77.03;PARIAMAN SELATAN
13.77.04;PARIAMAN TIMUR
14;RIAU
14.01;KAB. KAMPAR
14.01.01;BANGKINANG KOTA
14.01.02;KAMPAR
14.01.03;TAMBANG
14.01.04;XIII KOTO KAMPAR
14.01.05;KUOK
14.01.06;SIAK HULU
14.01.07;KAMPAR KIRI
14.01.08;KAMPAR KIRI HILIR
14.01.09;KAMPAR KIRI HULU
14.01.10;TAPUNG
14.01.11;TAPUNG HILIR
14.01.12;TAPUNG HULU
14.01.13;SALO
14.01.14;RUMBIO JAYA
14.01.15;BANGKINANG
14.01.16;PERHENTIAN RAJA
14.01.17;KAMPA
14.01.18;KAMPAR UTARA
14.01.19;KAMPAR KIRI TENGAH
14.01.20;GUNUNG SAHILAN
14.01.21;KOTO KAMPAR HULU
14.02;KAB. INDRAGIRI HULU
14.02.01;RENGAT
14.02.02;RENGAT BARAT
14.02.03;KELAYANG
14.02.04;PASIR PENYU
14.02.05;PERANAP
14.02.06;SIBERIDA
14.02.07;BATANG CENAKU
14.02.08;BATANG GANGSAL
14.02.09;LIRIK
14.02.10;KUALA CENAKU
14.02.11;SUNGAI LALA
14.02.12;LUBUK BATU JAYA
14.02.13;RAKIT KULIM
14.02.14;BATANG PERANAP
14.03;KAB. BENGKALIS
14.03.01;BENGKALIS
14.03.02;BANTAN
14.03.03;BUKIT BATU
14.03.09;MANDAU
14.03.10;RUPAT
14.03.11;RUPAT UTARA
14.03.12;SIAK KECIL
14.03.13;PINGGIR
14.03.14;BANDAR LAKSAMANA
14.03.15;TALANG MUANDAU
14.03.16;BATHIN SOLAPAN
14.04;KAB. INDRAGIRI HILIR
14.04.01;RETEH
14.04.02;ENOK
14.04.03;KUALA INDRAGIRI
14.04.04;TEMBILAHAN
14.04.05;TEMPULING
14.04.06;GAUNG ANAK SERKA
14.04.07;MANDAH
14.04.08;KATEMAN
14.04.09;KERITANG
14.04.10;TANAH MERAH
14.04.11;BATANG TUAKA
14.04.12;GAUNG
14.04.13;TEMBILAHAN HULU
14.04.14;KEMUNING
14.04.15;PELANGIRAN
14.04.16;TELUK BELENGKONG
14.04.17;PULAU BURUNG
14.04.18;CONCONG
14.04.19;KEMPAS
14.04.20;SUNGAI BATANG
14.05;KAB. PELALAWAN
14.05.01;UKUI
14.05.02;PANGKALAN KERINCI
14.05.03;PANGKALAN KURAS
14.05.04;PANGKALAN LESUNG
14.05.05;LANGGAM
14.05.06;PELALAWAN
14.05.07;KERUMUTAN
14.05.08;BUNUT
14.05.09;TELUK MERANTI
14.05.10;KUALA KAMPAR
14.05.11;BANDAR SEI KIJANG
14.05.12;BANDAR PETALANGAN
14.06;KAB. ROKAN HULU
14.06.01;UJUNG BATU
14.06.02;ROKAN IV KOTO
14.06.03;RAMBAH
14.06.04;TAMBUSAI
14.06.05;KEPENUHAN
14.06.06;KUNTO DARUSSALAM
14.06.07;RAMBAH SAMO
14.06.08;RAMBAH HILIR
14.06.09;TAMBUSAI UTARA
14.06.10;BANGUN PURBA
14.06.11;TANDUN
14.06.12;KABUN
14.06.13;BONAI DARUSSALAM
14.06.14;PAGARAN TAPAH DARUSSALAM
14.06.15;KEPENUHAN HULU
14.06.16;PENDALIAN IV KOTO
14.07;KAB. ROKAN HILIR
14.07.01;KUBU
14.07.02;BANGKO
14.07.03;TANAH PUTIH
14.07.04;RIMBA MELINTANG
14.07.05;BAGAN SINEMBAH
14.07.06;PASIR LIMAU KAPAS
14.07.07;SINABOI
14.07.08;PUJUD
14.07.09;TANAH PUTIH TANJUNG MELAWAN
14.07.10;BANGKO PUSAKO
14.07.11;SIMPANG KANAN
14.07.12;BATU HAMPAR
14.07.13;RANTAU KOPAR
14.07.14;PEKAITAN
14.07.15;KUBU BABUSSALAM
14.07.16;TANJUNG MEDAN
14.07.17;BAGAN SINEMBAH RAYA
14.07.18;BALAI JAYA
14.08;KAB. SIAK
14.08.01;SIAK
14.08.02;SUNGAI APIT
14.08.03;MINAS
14.08.04;TUALANG
14.08.05;SUNGAI MANDAU
14.08.06;DAYUN
14.08.07;KERINCI KANAN
14.08.08;BUNGA RAYA
14.08.09;KOTO GASIB
14.08.10;KANDIS
14.08.11;LUBUK DALAM
14.08.12;SABAK AUH
14.08.13;MEMPURA
14.08.14;PUSAKO
14.09;KAB. KUANTAN SINGINGI
14.09.01;KUANTAN MUDIK
14.09.02;KUANTAN TENGAH
14.09.03;SINGINGI
14.09.04;KUANTAN HILIR
14.09.05;CERENTI
14.09.06;BENAI
14.09.07;GUNUNGTOAR
14.09.08;SINGINGI HILIR
14.09.09;PANGEAN
14.09.10;LOGAS TANAH DARAT
14.09.11;INUMAN
14.09.12;HULU KUANTAN
14.09.13;KUANTAN HILIR SEBERANG
14.09.14;SENTAJO RAYA
14.09.15;PUCUK RANTAU
14.10;KAB. KEPULAUAN MERANTI
14.10.01;TEBING TINGGI
14.10.02;RANGSANG BARAT
14.10.03;RANGSANG
14.10.04;TEBING TINGGI BARAT
14.10.05;MERBAU
14.10.06;PULAUMERBAU
14.10.07;TEBING TINGGI TIMUR
14.10.08;TASIK PUTRI PUYU
14.10.09;RANGSANG PESISIR
14.71;KOTA PEKANBARU
14.71.01;SUKAJADI
14.71.02;PEKANBARU KOTA
14.71.03;SAIL
14.71.04;LIMA PULUH
14.71.05;SENAPELAN
14.71.06;RUMBAI
14.71.07;BUKIT RAYA
14.71.08;TAMPAN
14.71.09;MARPOYAN DAMAI
14.71.10;TENAYAN RAYA
14.71.11;PAYUNG SEKAKI
14.71.12;RUMBAI PESISIR
14.72;KOTA DUMAI
14.72.01;DUMAI BARAT
14.72.02;DUMAI TIMUR
14.72.03;BUKIT KAPUR
14.72.04;SUNGAI SEMBILAN
14.72.05;MEDANG KAMPAI
14.72.06;DUMAI KOTA
14.72.07;DUMAI SELATAN
15;JAMBI
15.01;KAB. KERINCI
15.01.01;GUNUNG RAYA
15.01.02;DANAU KERINCI
15.01.04;SITINJAU LAUT
15.01.05;AIR HANGAT
15.01.06;GUNUNG KERINCI
15.01.07;BATANG MERANGIN
15.01.08;KELILING DANAU
15.01.09;KAYU ARO
15.01.11;AIR HANGAT TIMUR
15.01.15;GUNUNG TUJUH
15.01.16;SIULAK
15.01.17;DEPATI TUJUH
15.01.18;SIULAK MUKAI
15.01.19;KAYU ARO BARAT
15.01.20;BUKITKERMAN
15.01.21;AIR HANGAT BARAT
15.02;KAB. MERANGIN
15.02.01;JANGKAT
15.02.02;BANGKO
15.02.03;MUARA SIAU
15.02.04;SUNGAI MANAU
15.02.05;TABIR
15.02.06;PAMENANG
15.02.07;TABIR ULU
15.02.08;TABIR SELATAN
15.02.09;LEMBAH MASURAI
15.02.10;BANGKO BARAT
15.02.11;NALO TATAN
15.02.12;BATANG MASUMAI
15.02.13;PAMENANG BARAT
15.02.14;TABIR ILIR
15.02.15;TABIR TIMUR
15.02.16;RENAH PEMBARAP
15.02.17;PANGKALAN JAMBU
15.02.18;JANGKAT TIMUR
15.02.19;RENAH PAMENANG
15.02.20;PAMENANG SELATAN
15.02.21;MARGO TABIR
15.02.22;TABIR LINTAS
15.02.23;TABIR BARAT
15.02.24;TIANG PUMPUNG
15.03;KAB. SAROLANGUN
15.03.01;BATANG ASAI
15.03.02;LIMUN
15.03.03;SAROLANGUN
15.03.04;PAUH
15.03.05;PELAWAN
15.03.06;MANDIANGIN
15.03.07;AIR HITAM
15.03.08;BATHIN VIII
15.03.09;SINGKUT
15.03.10;CERMIN NAN GEDANG
15.04;KAB. BATANGHARI
15.04.01;MERSAM
15.04.02;MUARA TEMBESI
15.04.03;MUARA BULIAN
15.04.04;BATIN XXIV
15.04.05;PEMAYUNG
15.04.06;MARO SEBO ULU
15.04.07;BAJUBANG
15.04.08;MARO SEBO ILIR
15.05;KAB. MUARO JAMBI
15.05.01;JAMBI LUAR KOTA
15.05.02;SEKERNAN
15.05.03;KUMPEH
15.05.04;MARO SEBO
15.05.05;MESTONG
15.05.06;KUMPEH ULU
15.05.07;SUNGAI BAHAR
15.05.08;SUNGAI GELAM
15.05.09;BAHAR UTARA
15.05.10;BAHAR SELATAN
15.05.11;TAMAN RAJO
15.06;KAB. TANJUNG JABUNG BARAT
15.06.01;TUNGKAL ULU
15.06.02;TUNGKAL ILIR
15.06.03;PENGABUAN
15.06.04;BETARA
15.06.05;MERLUNG
15.06.06;TEBING TINGGI
15.06.07;BATANG ASAM
15.06.08;RENAH MENDALUH
15.06.09;MUARA PAPALIK
15.06.10;SEBERANG KOTA
15.06.11;BRAM ITAM
15.06.12;KUALA BETARA
15.06.13;SENYERANG
15.07;KAB. TANJUNG JABUNG TIMUR
15.07.01;MUARA SABAK TIMUR
15.07.02;NIPAH PANJANG
15.07.03;MENDAHARA
15.07.04;RANTAU RASAU
15.07.05;S A D U
15.07.06;DENDANG
15.07.07;MUARA SABAK BARAT
15.07.08;KUALA JAMBI
15.07.09;MENDAHARA ULU
15.07.10;GERAGAI
15.07.11;BERBAK
15.08;KAB. BUNGO
15.08.01;TANAH TUMBUH
15.08.02;RANTAU PANDAN
15.08.03;PASAR MUARO BUNGO
15.08.04;JUJUHAN
15.08.05;TANAH SEPENGGAL
15.08.06;PELEPAT
15.08.07;LIMBUR LUBUK MENGKUANG
15.08.08;MUKO-MUKO BATHIN VII
15.08.09;PELEPAT ILIR
15.08.10;BATIN II BABEKO
15.08.11;BATHIN III
15.08.12;BUNGO DANI
15.08.13;RIMBO TENGAH
15.08.14;BATHIN III ULU
15.08.15;BATHIN II PELAYANG
15.08.16;JUJUHAN ILIR
15.08.17;TANAH SEPENGGAL LINTAS
15.09;KAB. TEBO
15.09.01;TEBO TENGAH
15.09.02;TEBO ILIR
15.09.03;TEBO ULU
15.09.04;RIMBO BUJANG
15.09.05;SUMAY
15.09.06;VII KOTO
15.09.07;RIMBO ULU
15.09.08;RIMBO ILIR
15.09.09;TENGAH ILIR
15.09.10;SERAI SERUMPUN
15.09.11;VII KOTO ILIR
15.09.12;MUARA TABIR
15.71;KOTA JAMBI
15.71.01;TELANAIPURA
15.71.02;JAMBI SELATAN
15.71.03;JAMBI TIMUR
15.71.04;PASAR JAMBI
15.71.05;PELAYANGAN
15.71.06;DANAU TELUK
15.71.07;KOTA BARU
15.71.08;JELUTUNG
15.71.09;ALAM BARAJO
15.71.10;DANAU SIPIN
15.71.11;PAAL MERAH
15.72;KOTA SUNGAI PENUH
15.72.01;SUNGAI PENUH
15.72.02;PESISIR BUKIT
15.72.03;HAMPARAN RAWANG
15.72.04;TANAH KAMPUNG
15.72.05;KUMUN DEBAI
15.72.06;PONDOK TINGGI
15.72.07;KOTO BARU
15.72.08;SUNGAI BUNGKAL
16;SUMATERA SELATAN
16.01;KAB. OGAN KOMERING ULU
16.01.07;SOSOH BUAY RAYAP
16.01.08;PENGANDONAN
16.01.09;PENINJAUAN
16.01.13;BATURAJA BARAT
16.01.14;BATURAJA TIMUR
16.01.20;ULU OGAN
16.01.21;SEMIDANG AJI
16.01.22;LUBUK BATANG
16.01.28;LENGKITI
16.01.29;SINAR PENINJAUAN
16.01.30;LUBUK RAJA
16.01.31;MUARA JAYA
16.01.32;KEDATON PENINJAUAN RAYA
16.02;KAB. OGAN KOMERING ILIR
16.02.02;TANJUNG LUBUK
16.02.03;PEDAMARAN
16.02.04;MESUJI
16.02.05;KAYU AGUNG
16.02.08;SIRAH PULAU PADANG
16.02.11;TULUNG SELAPAN
16.02.12;PAMPANGAN
16.02.13;LEMPUING
16.02.14;AIR SUGIHAN
16.02.15;SUNGAI MENANG
16.02.17;JEJAWI
16.02.18;CENGAL
16.02.19;PANGKALAN LAMPAM
16.02.20;MESUJI MAKMUR
16.02.21;MESUJI RAYA
16.02.22;LEMPUING JAYA
16.02.23;TELUK GELAM
16.02.24;PEDAMARAN TIMUR
16.03;KAB. MUARA ENIM
16.03.01;TANJUNG AGUNG
16.03.02;MUARA ENIM
16.03.03;RAMBANG NIRU
16.03.04;GUNUNG MEGANG
16.03.06;GELUMBANG
16.03.07;LAWANG KIDUL
16.03.08;SEMENDE DARAT LAUT
16.03.09;SEMENDE DARAT TENGAH
16.03.10;SEMENDE DARAT ULU
16.03.11;UJAN MAS
16.03.14;LUBAI
16.03.15;RAMBANG
16.03.16;SUNGAI ROTAN
16.03.17;LEMBAK
16.03.19;BENAKAT
16.03.21;KELEKAR
16.03.22;MUARA BELIDA
16.03.23;BELIMBING
16.03.24;BELIDA DARAT
16.03.25;LUBAI ULU
16.03.26;EMPAT PETULAI DANGKU
16.03.27;PANANG ENIM
16.04;KAB. LAHAT
16.04.01;TANJUNGSAKTI PUMU
16.04.06;JARAI
16.04.07;KOTA AGUNG
16.04.08;PULAUPINANG
16.04.09;MERAPI BARAT
16.04.10;LAHAT
16.04.12;PAJAR BULAN
16.04.15;MULAK ULU
16.04.16;KIKIM SELATAN
16.04.17;KIKIM TIMUR
16.04.18;KIKIM TENGAH
16.04.19;KIKIM BARAT
16.04.20;PSEKSU
16.04.21;GUMAY TALANG
16.04.22;PAGAR GUNUNG
16.04.23;MERAPI TIMUR
16.04.24;TANJUNG SAKTI PUMI
16.04.25;GUMAY ULU
16.04.26;MERAPI SELATAN
16.04.27;TANJUNGTEBAT
16.04.28;MUARAPAYANG
16.04.29;SUKAMERINDU
16.04.30;MULAK SEBINGKAI
16.04.31;LAHAT SELATAN
16.05;KAB. MUSI RAWAS
16.05.01;TUGUMULYO
16.05.02;MUARA LAKITAN
16.05.03;MUARA KELINGI
16.05.08;JAYALOKA
16.05.09;MUARA BELITI
16.05.10;STL ULU TERAWAS
16.05.11;SELANGIT
16.05.12;MEGANG SAKTI
16.05.13;PURWODADI
16.05.14;BTS. ULU
16.05.18;TIANG PUMPUNG KEPUNGUT
16.05.19;SUMBER HARTA
16.05.20;TUAH NEGERI
16.05.21;SUKA KARYA
16.06;KAB. MUSI BANYUASIN
16.06.01;SEKAYU
16.06.02;LAIS
16.06.03;SUNGAI KERUH
16.06.04;BATANG HARI LEKO
16.06.05;SANGA DESA
16.06.06;BABAT TOMAN
16.06.07;SUNGAI LILIN
16.06.08;KELUANG
16.06.09;BAYUNG LENCIR
16.06.10;PLAKAT TINGGI
16.06.11;LALAN
16.06.12;TUNGKAL JAYA
16.06.13;LAWANG WETAN
16.06.14;BABAT SUPAT
16.06.15;JIRAK JAYA
16.07;KAB. BANYUASIN
16.07.01;BANYUASIN I
16.07.02;BANYUASIN II
16.07.03;BANYUASIN III
16.07.04;PULAU RIMAU
16.07.05;BETUNG
16.07.06;RAMBUTAN
16.07.07;MUARA PADANG
16.07.08;MUARA TELANG
16.07.09;MAKARTI JAYA
16.07.10;TALANG KELAPA
16.07.11;RANTAU BAYUR
16.07.12;TANJUNG LAGO
16.07.13;MUARA SUGIHAN
16.07.14;AIR SALEK
16.07.15;TUNGKAL ILIR
16.07.16;SUAK TAPEH
16.07.17;SEMBAWA
16.07.18;SUMBER MARGA TELANG
16.07.19;AIR KUMBANG
16.07.20;KARANGAGUNG ILIR
16.07.21;SELAT PANUGUAN
16.08;KAB. OGAN KOMERING ULU TIMUR
16.08.01;MARTAPURA
16.08.02;BUAY MADANG
16.08.03;BELITANG
16.08.04;CEMPAKA
16.08.05;BUAY PEMUKA PELIUNG
16.08.06;MADANG SUKU II
16.08.07;MADANG SUKU I
16.08.08;SEMENDAWAI SUKU III
16.08.09;BELITANG II
16.08.10;BELITANG III
16.08.11;BUNGA MAYANG
16.08.12;BUAY MADANG TIMUR
16.08.13;MADANG SUKU III
16.08.14;SEMENDAWAI BARAT
16.08.15;SEMENDAWAI TIMUR
16.08.16;JAYAPURA
16.08.17;BELITANG JAYA
16.08.18;BELITANG MADANG RAYA
16.08.19;BELITANG MULYA
16.08.20;BUAY PEMUKA BANGSA RAJA
16.09;KAB. OGAN KOMERING ULU SELATAN
16.09.01;MUARA DUA
16.09.02;PULAU BERINGIN
16.09.03;BANDING AGUNG
16.09.04;MUARA DUA KISAM
16.09.05;SIMPANG
16.09.06;BUAY SANDANG AJI
16.09.07;BUAY RUNJUNG
16.09.08;MEKAKAU ILIR
16.09.09;BUAY PEMACA
16.09.10;KISAM TINGGI
16.09.11;KISAM ILIR
16.09.12;BUAY PEMATANG RIBU RANAU TENGAH
16.09.13;WARKUK RANAU SELATAN
16.09.14;RUNJUNG AGUNG
16.09.15;SUNGAI ARE
16.09.16;SINDANG DANAU
16.09.17;BUANA PEMACA
16.09.18;TIGA DIHAJI
16.09.19;BUAY RAWAN
16.10;KAB. OGAN ILIR
16.10.01;MUARA KUANG
16.10.02;TANJUNG BATU
16.10.03;TANJUNG RAJA
16.10.04;INDRALAYA
16.10.05;PEMULUTAN
16.10.06;RANTAU ALAI
16.10.07;INDRALAYA UTARA
16.10.08;INDRALAYA SELATAN
16.10.09;PEMULUTAN SELATAN
16.10.10;PEMULUTAN BARAT
16.10.11;RANTAU PANJANG
16.10.12;SUNGAI PINANG
16.10.13;KANDIS
16.10.14;RAMBANG KUANG
16.10.15;LUBUK KELIAT
16.10.16;PAYARAMAN
16.11;KAB. EMPAT LAWANG
16.11.01;MUARA PINANG
16.11.02;PENDOPO
16.11.03;ULU MUSI
16.11.04;TEBING TINGGI
16.11.05;LINTANG KANAN
16.11.06;TALANG PADANG
16.11.07;PASEMAH AIR KERUH
16.11.08;SIKAP DALAM
16.11.09;SALING
16.11.10;PENDOPO BARAT
16.12;KAB. PENUKAL ABAB LEMATANG ILIR
16.12.01;TALANG UBI
16.12.02;PENUKAL UTARA
16.12.03;PENUKAL
16.12.04;ABAB
16.12.05;TANAH ABANG
16.13;KAB. MUSI RAWAS UTARA
16.13.01;RUPIT
16.13.02;RAWAS ULU
16.13.03;NIBUNG
16.13.04;RAWAS ILIR
16.13.05;KARANG DAPO
16.13.06;KARANG JAYA
16.13.07;ULU RAWAS
16.71;KOTA PALEMBANG
16.71.01;ILIR BARAT II
16.71.02;SEBERANG ULU I
16.71.03;SEBERANG ULU II
16.71.04;ILIR BARAT I
16.71.05;ILIR TIMUR I
16.71.06;ILIR TIMUR II
16.71.07;SUKARAMI
16.71.08;SAKO
16.71.09;KEMUNING
16.71.10;KALIDONI
16.71.11;BUKIT KECIL
16.71.12;GANDUS
16.71.13;KERTAPATI
16.71.14;PLAJU
16.71.15;ALANG-ALANG LEBAR
16.71.16;SEMATANG BORANG
16.71.17;JAKABARING
16.71.18;ILIR TIMUR TIGA
16.72;KOTA PAGAR ALAM
16.72.01;PAGAR ALAM UTARA
16.72.02;PAGAR ALAM SELATAN
16.72.03;DEMPO UTARA
16.72.04;DEMPO SELATAN
16.72.05;DEMPO TENGAH
16.73;KOTA LUBUK LINGGAU
16.73.01;LUBUK LINGGAU TIMUR I
16.73.02;LUBUK LINGGAU BARAT I
16.73.03;LUBUK LINGGAU SELATAN I
16.73.04;LUBUK LINGGAU UTARA I
16.73.05;LUBUK LINGGAU TIMUR II
16.73.06;LUBUK LINGGAU BARAT II
16.73.07;LUBUK LINGGAU SELATAN II
16.73.08;LUBUK LINGGAU UTARA II
16.74;KOTA PRABUMULIH
16.74.01;PRABUMULIH BARAT
16.74.02;PRABUMULIH TIMUR
16.74.03;CAMBAI
16.74.04;RAMBANG KPK TENGAH
16.74.05;PRABUMULIH UTARA
16.74.06;PRABUMULIH SELATAN
17;BENGKULU
17.01;KAB. BENGKULU SELATAN
17.01.01;KEDURANG
17.01.02;SEGINIM
17.01.03;PINO
17.01.04;MANNA
17.01.05;KOTA MANNA
17.01.06;PINO RAYA
17.01.07;KEDURANG ILIR
17.01.08;AIR NIPIS
17.01.09;ULU MANNA
17.01.10;BUNGA MAS
17.01.11;PASAR MANNA
17.02;KAB. REJANG LEBONG
17.02.06;KOTA PADANG
17.02.07;PADANG ULAK TANDING
17.02.08;SINDANG KELINGI
17.02.09;CURUP
17.02.10;BERMANI ULU
17.02.11;SELUPU REJANG
17.02.16;CURUP UTARA
17.02.17;CURUP TIMUR
17.02.18;CURUP SELATAN
17.02.19;CURUP TENGAH
17.02.20;BINDURIANG
17.02.21;SINDANG BELITI ULU
17.02.22;SINDANG DATARAN
17.02.23;SINDANG BELITI ILIR
17.02.24;BERMANI ULU RAYA
17.03;KAB. BENGKULU UTARA
17.03.01;ENGGANO
17.03.06;KERKAP
17.03.07;KOTA ARGA MAKMUR
17.03.08;GIRI MULYA
17.03.09;PADANG JAYA
17.03.10;LAIS
17.03.11;BATIK NAU
17.03.12;KETAHUN
17.03.13;NAPAL PUTIH
17.03.14;PUTRI HIJAU
17.03.15;AIR BESI
17.03.16;AIR NAPAL
17.03.19;HULU PALIK
17.03.20;AIR PADANG
17.03.21;ARMA JAYA
17.03.22;TANJUNG AGUNG PALIK
17.03.23;ULOK KUPAI
17.03.24;PINANG RAYA
17.03.25;MARGA SAKTI SEBELAT
17.04;KAB. KAUR
17.04.01;KINAL
17.04.02;TANJUNG KEMUNING
17.04.03;KAUR UTARA
17.04.04;KAUR TENGAH
17.04.05;KAUR SELATAN
17.04.06;MAJE
17.04.07;NASAL
17.04.08;SEMIDANG GUMAY
17.04.09;KELAM TENGAH
17.04.10;LUAS
17.04.11;MUARA SAHUNG
17.04.12;TETAP
17.04.13;LUNGKANG KULE
17.04.14;PADANG GUCI HILIR
17.04.15;PADANG GUCI HULU
17.05;KAB. SELUMA
17.05.01;SUKARAJA
17.05.02;SELUMA
17.05.03;TALO
17.05.04;SEMIDANG ALAS
17.05.05;SEMIDANG ALAS MARAS
17.05.06;AIR PERIUKAN
17.05.07;LUBUK SANDI
17.05.08;SELUMA BARAT
17.05.09;SELUMA TIMUR
17.05.10;SELUMA UTARA
17.05.11;SELUMA SELATAN
17.05.12;TALO KECIL
17.05.13;ULU TALO
17.05.14;ILIR TALO
17.06;KAB. MUKO MUKO
17.06.01;LUBUK PINANG
17.06.02;KOTA MUKOMUKO
17.06.03;TERAS TERUNJAM
17.06.04;PONDOK SUGUH
17.06.05;IPUH
17.06.06;MALIN DEMAN
17.06.07;AIR RAMI
17.06.08;TERAMANG JAYA
17.06.09;SELAGAN RAYA
17.06.10;PENARIK
17.06.11;XIV KOTO
17.06.12;V KOTO
17.06.13;AIR MAJUNTO
17.06.14;AIR DIKIT
17.06.15;SUNGAI RUMBAI
17.07;KAB. LEBONG
17.07.01;LEBONG UTARA
17.07.02;LEBONG ATAS
17.07.03;LEBONG TENGAH
17.07.04;LEBONG SELATAN
17.07.05;RIMBO PENGADANG
17.07.06;TOPOS
17.07.07;BINGIN KUNING
17.07.08;LEBONG SAKTI
17.07.09;PELABAI
17.07.10;AMEN
17.07.11;URAM JAYA
17.07.12;PINANG BELAPIS
17.08;KAB. KEPAHIANG
17.08.01;BERMANI ILIR
17.08.02;UJAN MAS
17.08.03;TEBAT KARAI
17.08.04;KEPAHIANG
17.08.05;MERIGI
17.08.06;KEBAWETAN
17.08.07;SEBERANG MUSI
17.08.08;MUARA KEMUMU
17.09;KAB. BENGKULU TENGAH
17.09.01;KARANG TINGGI
17.09.02;TALANG EMPAT
17.09.03;PONDOK KELAPA
17.09.04;PEMATANG TIGA
17.09.05;PAGAR JATI
17.09.06;TABA PENANJUNG
17.09.07;MERIGI KELINDANG
17.09.08;MERIGI SAKTI
17.09.09;PONDOK KUBANG
17.09.10;BANG HAJI
17.09.11;SEMIDANG LAGAN
17.71;KOTA BENGKULU
17.71.01;SELEBAR
17.71.02;GADING CEMPAKA
17.71.03;TELUK SEGARA
17.71.04;MUARA BANGKA HULU
17.71.05;KAMPUNG MELAYU
17.71.06;RATU AGUNG
17.71.07;RATU SAMBAN
17.71.08;SUNGAI SERUT
17.71.09;SINGARAN PATI
18;LAMPUNG
18.01;KAB. LAMPUNG SELATAN
18.01.04;NATAR
18.01.05;TANJUNG BINTANG
18.01.06;KALIANDA
18.01.07;SIDOMULYO
18.01.08;KATIBUNG
18.01.09;PENENGAHAN
